winery,wine,year,rating,num_reviews,country,region,price,type,body,acidity
Teso La Monja,Tinto,2013,4.9,58.0,Espana,Toro,995.0,Toro Red,5.0,3.0
Artadi,Vina El Pison,2018,4.9,31.0,Espana,Vino de Espana,313.5,Tempranillo,4.0,2.0
Vega Sicilia,Unico,2009,4.8,1793.0,Espana,Ribera del Duero,324.95,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,1999,4.8,1705.0,Espana,Ribera del Duero,692.96,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,1996,4.8,1309.0,Espana,Ribera del Duero,778.06,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,1998,4.8,1209.0,Espana,Ribera del Duero,490.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,2010,4.8,1201.0,Espana,Ribera del Duero,349.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,1995,4.8,926.0,Espana,Ribera del Duero,810.89,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,2015,4.8,643.0,Espana,Ribera del Duero,345.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,2011,4.8,630.0,Espana,Ribera del Duero,315.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,2016,4.8,591.0,Espana,Ribera del Duero,514.85,Ribera Del Duero Red,5.0,3.0
Pago de Carraovejas,El Anejon,2016,4.8,454.0,Espana,Ribera del Duero,105.15,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,2018,4.8,438.0,Espana,Ribera del Duero,430.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,1970,4.8,417.0,Espana,Ribera del Duero,925.0,Ribera Del Duero Red,5.0,3.0
Toro Albala,Don PX Convento Seleccion,1946,4.8,398.0,Espana,Montilla-Moriles,350.0,Pedro Ximenez,5.0,1.0
Pago de Carraovejas,Cuesta de Las Liebres,2015,4.8,372.0,Espana,Ribera del Duero,166.18,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,1962,4.8,295.0,Espana,Ribera del Duero,1620.0,Ribera Del Duero Red,5.0,3.0
Contino,Unico Reserva Especial Edicion,2019,4.8,250.0,Espana,Ribera del Duero,431.36,Ribera Del Duero Red,5.0,3.0
Bodegas El Nido,El Nido,2018,4.8,217.0,Espana,Jumilla,195.6273796,Red,4.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,2004,4.8,211.0,Espana,Ribera del Duero,824.43,Ribera Del Duero Red,5.0,3.0
Valdespino,Toneles Moscatel,N.V.,4.8,174.0,Espana,Jerez-Xeres-Sherry,253.0,Sherry,4.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,2013,4.8,172.0,Espana,Ribera del Duero,570.51,Ribera Del Duero Red,5.0,3.0
Dominio de Pingus,Pingus,2016,4.8,145.0,Espana,Ribera del Duero,1280.0,Rioja Red,5.0,3.0
Toro Albala,Don PX Convento Seleccion,1931,4.8,139.0,Espana,Montilla-Moriles,244.85,Pedro Ximenez,5.0,1.0
Vega Sicilia,Unico Reserva Especial Edicion,2010,4.8,125.0,Espana,Ribera del Duero,719.34,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,1979,4.8,118.0,Espana,Ribera del Duero,815.0,Ribera Del Duero Red,5.0,3.0
Toro Albala,Don PX Pedro Ximenez,1946,4.8,103.0,Espana,Montilla-Moriles,285.86,Pedro Ximenez,5.0,1.0
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2004,4.8,87.0,Espana,Priorato,1410.26,Priorat Red,4.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,2005,4.8,87.0,Espana,Ribera del Duero,813.96,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,2011,4.8,404.0,Espana,Ribera del Duero,435.75,Ribera Del Duero Red,5.0,3.0
Ordonez,Vatan Arena Tinta de Toro,2014,4.8,79.0,Espana,Toro,369.05,Toro Red,5.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,1985,4.8,70.0,Espana,Ribera del Duero,1182.77,Ribera Del Duero Red,5.0,3.0
Toro Albala,Don PX Convento Seleccion,1929,4.8,69.0,Espana,Montilla-Moriles,227.95,Pedro Ximenez,5.0,1.0
Bodegas Valduero,Reserva,1999,4.8,68.0,Espana,Ribera del Duero,999.0,Ribera Del Duero Red,5.0,3.0
Vina Sastre,Pesus Ribera del Duero,2007,4.8,68.0,Espana,Ribera del Duero,360.0,Rioja Red,5.0,3.0
Teso La Monja,Tinto,2012,4.8,56.0,Espana,Toro,1190.0,Toro Red,5.0,3.0
Dominio de Pingus,Pingus,2017,4.8,52.0,Espana,Ribera del Duero,1150.0,Ribera Del Duero Red,5.0,3.0
Teso La Monja,Tinto,2009,4.8,50.0,Espana,Toro,950.0,Toro Red,5.0,3.0
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2008,4.8,40.0,Espana,Priorato,1021.21,Priorat Red,4.0,3.0
Sierra Cantabria,Magico,2016,4.8,40.0,Espana,Rioja,544.5,Rioja Red,4.0,3.0
Teso La Monja,Tinto,2011,4.8,32.0,Espana,Toro,1295.0,Toro Red,5.0,3.0
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2017,4.8,31.0,Espana,Priorato,992.2,Priorat Red,4.0,3.0
Teso La Monja,Tinto,2015,4.8,28.0,Espana,Toro,1289.44,Toro Red,5.0,3.0
Descendientes de J. Palacios,La Faraona Bierzo (Corullon),2017,4.8,26.0,Espana,Bierzo,1098.9,Red,4.0,3.0
La Rioja Alta,Gran Reserva 890,1985,4.8,26.0,Espana,Rioja,215.34,Rioja Red,4.0,3.0
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2018,4.8,26.0,Espana,Priorato,1094.9,Priorat Red,4.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,2011,4.7,12421.0,Espana,Ribera del Duero,423.5,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Valbuena 5o,2010,4.7,5266.0,Espana,Ribera del Duero,239.5,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Valbuena 5o,2014,4.7,4350.0,Espana,Ribera del Duero,175.5,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Valbuena 5o,2006,4.7,3929.0,Espana,Ribera del Duero,194.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,2005,4.7,3437.0,Espana,Ribera del Duero,381.15,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,2004,4.7,3164.0,Espana,Ribera del Duero,584.43,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,2000,4.7,3127.0,Espana,Ribera del Duero,555.2,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,2007,4.7,2935.0,Espana,Ribera del Duero,445.28,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Valbuena 5o,2015,4.7,2826.0,Espana,Ribera del Duero,189.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,2006,4.7,2765.0,Espana,Ribera del Duero,362.25,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,2008,4.7,2480.0,Espana,Ribera del Duero,289.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,2003,4.7,2419.0,Espana,Ribera del Duero,325.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Valbuena 5o,2016,4.7,2177.0,Espana,Ribera del Duero,107.57,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Valbuena 5o,2005,4.7,1892.0,Espana,Ribera del Duero,234.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,2002,4.7,1199.0,Espana,Ribera del Duero,500.94,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,1991,4.7,1141.0,Espana,Ribera del Duero,698.9,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,1994,4.7,940.0,Espana,Ribera del Duero,872.47,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,2000,4.7,935.0,Espana,Ribera del Duero,877.85,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,1990,4.7,690.0,Espana,Ribera del Duero,827.94,Ribera Del Duero Red,5.0,3.0
Pago de Carraovejas,Cuesta de Las Liebres,2014,4.7,685.0,Espana,Ribera del Duero,113.18,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,1989,4.7,675.0,Espana,Ribera del Duero,679.72,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,1987,4.7,593.0,Espana,Ribera del Duero,787.59,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,2017,4.7,560.0,Espana,Ribera del Duero,480.06,Ribera Del Duero Red,5.0,3.0
Pago de Carraovejas,El Anejon,2015,4.7,543.0,Espana,Ribera del Duero,75.1,Ribera Del Duero Red,5.0,3.0
Bodegas El Nido,El Nido,2011,4.7,511.0,Espana,Rioja,154.9,Red,4.0,3.0
Bodegas El Nido,El Nido,2013,4.7,476.0,Espana,Jumilla,145.0,Red,4.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,1996,4.7,442.0,Espana,Ribera del Duero,290.0,Ribera Del Duero Red,5.0,3.0
Marques de Murrieta,Castillo Ygay Gran Reserva Especial Blanco,1986,4.7,425.0,Espana,Rioja,795.0,Rioja White,3.0,3.0
Bodegas El Nido,El Nido,2016,4.7,393.0,Espana,Jumilla,371.7800975,Red,4.0,3.0
Bodegas El Nido,El Nido,2008,4.7,347.0,Espana,Jumilla,134.19,Red,4.0,3.0
Vinedos de Paganos,La Nieta,2015,4.7,312.0,Espana,Rioja,82.58,Rioja Red,4.0,3.0
Vega Sicilia,Unico,1981,4.7,308.0,Espana,Rioja,873.86,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,2007,4.7,303.0,Espana,Ribera del Duero,774.4,Ribera Del Duero Red,5.0,3.0
Emilio Moro,Malleolus de Valderramiro,2016,4.7,300.0,Espana,Ribera del Duero,84.95,Ribera Del Duero Red,5.0,3.0
Dominio de Pingus,Pingus,2001,4.7,295.0,Espana,Ribera del Duero,940.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,1986,4.7,292.0,Espana,Ribera del Duero,812.63,Ribera Del Duero Red,5.0,3.0
Emilio Moro,Malleolus de Sanchomartin,2016,4.7,291.0,Espana,Ribera del Duero,116.54,Ribera Del Duero Red,5.0,3.0
Dominio de Pingus,Pingus,2004,4.7,285.0,Espana,Ribera del Duero,1500.0,Ribera Del Duero Red,5.0,3.0
Dominio de Pingus,Pingus,2006,4.7,280.0,Espana,Ribera del Duero,1190.0,Ribera Del Duero Red,5.0,3.0
Bodegas El Nido,El Nido,2017,4.7,268.0,Espana,Jumilla,154.85,Red,4.0,3.0
Teso La Monja,Alabaster,2016,4.7,264.0,Espana,Toro,135.0,Toro Red,5.0,3.0
Quinta de la Quietud,La Mula de la Quietud,2015,4.7,256.0,Espana,Toro,63.75,Toro Red,5.0,3.0
Vega Sicilia,Unico,1985,4.7,254.0,Espana,Ribera del Duero,827.94,Ribera Del Duero Red,5.0,3.0
Bodegas Mauro,Terreus Paraje de Cueva Baja,2017,4.7,404.0,Espana,Castilla y Leon,66.07,Tempranillo,4.0,2.0
Bodega Contador (Benjamin Romeo),Contador Rioja,2012,4.7,243.0,Espana,Rioja,213.9,Rioja Red,4.0,3.0
Remirez de Ganuza,Maria Remirez de Ganuza,2006,4.7,240.0,Espana,Rioja,234.9,Rioja Red,4.0,3.0
Vega Sicilia,Unico,1968,4.7,225.0,Espana,Ribera del Duero,2087.25,Ribera Del Duero Red,5.0,3.0
Vinedos de Paganos,La Nieta,2018,4.7,220.0,Espana,Rioja,89.9,Rioja Red,4.0,3.0
Vega Sicilia,Unico,1964,4.7,214.0,Espana,Ribera del Duero,1384.54,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,1982,4.7,205.0,Espana,Ribera del Duero,820.98,Ribera Del Duero Red,5.0,3.0
Dominio de Pingus,Pingus,2015,4.7,203.0,Espana,Ribera del Duero,1250.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,1995,4.7,196.0,Espana,Ribera del Duero,1500.0,Ribera Del Duero Red,5.0,3.0
Dominio de Pingus,Pingus,1999,4.7,184.0,Espana,Ribera del Duero,1715.18,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Unico,1974,4.7,173.0,Espana,Ribera del Duero,932.3,Ribera Del Duero Red,5.0,3.0
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,1998,4.7,171.0,Espana,Priorato,1372.14,Priorat Red,4.0,3.0
Bodegas San Roman,Cartago Paraje de Pozo,2015,4.7,137.0,Espana,Toro,78.9,Toro Red,5.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,2012,4.7,136.0,Espana,Ribera del Duero,660.96,Ribera Del Duero Red,5.0,3.0
Pago de Los Capellanes,Parcela El Picon Tinto,2009,4.7,134.0,Espana,Ribera del Duero,154.0,Ribera Del Duero Red,5.0,3.0
Vega Sicilia,Valbuena 5o,2017,4.7,133.0,Espana,Ribera del Duero,134.89,Ribera Del Duero Red,5.0,3.0
Alvaro Palacios,L'Ermita Velles Vinyes Priorat,2000,4.7,132.0,Espana,Priorato,1422.96,Priorat Red,4.0,3.0
Bodega Numanthia,Termanthia,2005,4.7,131.0,Espana,Toro,207.11,Toro Red,5.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,2011,4.7,131.0,Espana,Ribera del Duero,340.49,Ribera Del Duero Red,5.0,3.0
Emilio Moro,Clon De La Familia,2010,4.7,127.0,Espana,Ribera del Duero,317.63,Ribera Del Duero Red,5.0,3.0
Alto Moncayo,Aquilon Garnacha,2011,4.7,123.0,Espana,Campo de Borja,108.9,Grenache,5.0,3.0
Vega Sicilia,Unico,1983,4.7,118.0,Espana,Ribera del Duero,700.0,Ribera Del Duero Red,5.0,3.0
Toro Albala,Don PX Convento Seleccion,1955,4.7,117.0,Espana,Montilla-Moriles,185.0,Pedro Ximenez,5.0,1.0
Vega Sicilia,Unico,1980,4.7,116.0,Espana,Ribera del Duero,911.43,Ribera Del Duero Red,5.0,3.0
Bodega Contador (Benjamin Romeo),Contador Rioja,2005,4.7,112.0,Espana,Rioja,1150.0,Rioja Red,4.0,3.0
Vega Sicilia,Unico,1972,4.7,110.0,Espana,Ribera del Duero,698.95,Ribera Del Duero Red,5.0,3.0
Bodega Numanthia,Termanthia,2004,4.7,108.0,Espana,Toro,2814.16,Toro Red,5.0,3.0
Teso La Monja,Tinto,2010,4.7,102.0,Espana,Toro,1325.0,Toro Red,5.0,3.0
Alvaro Palacios,Quinon de Valmira,2015,4.7,102.0,Espana,Rioja,527.26,Rioja Red,4.0,3.0
Vega Sicilia,Unico Reserva Especial Edicion,1987,4.7,100.0,Espana,Ribera del Duero,1071.45,Ribera Del Duero Red,5.0,3.0
Mas Doix,1902 Centenary Carignan Priorat,2015,4.7,94.0,Espana,Priorato,299.0,Priorat Red,4.0,3.0
Finca Moncloa,Tintilla de Rota,2016,4.7,92.0,Espana,Cadiz,43.13,Rioja Red,4.158426788816932,3.0
Vega Sicilia,Unico,1953,4.7,89.0,Espana,Ribera del Duero,1207.6,Ribera Del Duero Red,5.0,3.0
Bodegas Roda,Cirsion Rioja,2000,4.7,87.0,Espana,Rioja,175.0,Rioja Red,4.0,3.0
